Gender;Height;Weight;BMI
Male;147;142;65,71336017
Male;154;112;47,22550177
Female;178;65;20,51508648
Male;195;153;40,23668639
Female;167;79;28,32658037
Male;183;131;39,11732211
Female;164;142;52,79595479
Male;167;64;22,94811574
Female;151;55;24,12174905
Female;147;107;49,5164052
Female;155;115;47,86680541
Female;172;108;36,50621958
Female;142;86;42,6502678
Male;146;85;39,87614937
Female;188;115;32,53734722
Male;173;111;37,0877744
Female;160;109;42,578125
Male;187;80;22,8774057
Male;198;136;34,69033772
Female;179;150;46,81501826
Female;164;59;21,93634741
Female;146;147;68,96228185
Female;198;50;12,75380063
Female;170;53;18,33910035
Male;152;98;42,41689751
Female;150;153;68
Female;184;121;35,73960302
Female;141;136;68,40702178
Male;150;95;42,22222222
Male;173;131;43,77025627

